Phrase,Word Count,Character Count,Phrase Without Spaces,Consonants,Consonants Count,Vowels Count
Take care of the pennies and the pounds will take care of themselves,13,68,takecareofthepenniesandthepoundswilltakecareofthemselves,tkcrfthpnnsndthpndswlltkcrfthmslvs,34,34
Sticks and stones may break my bones but words will never hurt me,13,65,sticksandstonesmaybreakmybonesbutwordswillneverhurtme,stcksndstnsmybrkmybnsbtwrdswllnvrhrtm,37,28
It is no use locking the stable door after the horse has bolted,13,63,itisnouselockingthestabledoorafterthehorsehasbolted,tsnslckngthstbldrftrthhrshsbltd,31,32
There are more ways of killing a cat than choking it with cream,13,63,therearemorewaysofkillingacatthanchokingitwithcream,thrrmrwysfkllngctthnchkngtwthcrm,32,31
Better to have loved and lost than never to have loved at all,13,61,bettertohavelovedandlostthannevertohavelovedatall,bttrthvlvdndlstthnnvrthvlvdtll,30,31
One half of the world does not know how the other half lives,13,60,onehalfoftheworlddoesnotknowhowtheotherhalflives,nhlffthwrlddsntknwhwththrhlflvs,31,29
The only disability in life is a bad attitude Scott Hamilton,11,60,theonlydisabilityinlifeisabadattitudescotthamilton,thnlydsbltynlfsbdtttdsctthmltn,30,30
Laugh and the world laughs with you weep and you weep alone,12,59,laughandtheworldlaughswithyouweepandyouweepalone,lghndthwrldlghswthywpndywpln,28,31
Those who do not learn from history are doomed to repeat it,12,59,thosewhodonotlearnfromhistoryaredoomedtorepeatit,thswhdntlrnfrmhstryrdmdtrptt,28,31
History repeats itself and it does not care what it repeats,11,59,historyrepeatsitselfanditdoesnotcarewhatitrepeats,hstryrptstslfndtdsntcrwhttrpts,30,29
You can lead a horse to water but you cannot make it drink,13,58,youcanleadahorsetowaterbutyoucannotmakeitdrink,ycnldhrstwtrbtycnntmktdrnk,26,32
Hunger never knows the taste sleep never knows the comfort,10,58,hungerneverknowsthetastesleepneverknowsthecomfort,hngrnvrknwsthtstslpnvrknwsthcmfrt,33,25
He who fights and runs away may live to fight another day,12,57,hewhofightsandrunsawaymaylivetofightanotherday,hwhfghtsndrnswymylvtfghtnthrdy,30,27
What the eye does not see the heart does not grieve over,12,56,whattheeyedoesnotseetheheartdoesnotgrieveover,whtthydsntsthhrtdsntgrvvr,25,31
Everybody wants to go to heaven but nobody wants to die,11,55,everybodywantstogotoheavenbutnobodywantstodie,vrybdywntstgthvnbtnbdywntstd,28,27
What you lose on the swings you gain on the roundabouts,11,55,whatyouloseontheswingsyougainontheroundabouts,whtylsnthswngsygnnthrndbts,26,29
People who live in glass houses should not throw stones,10,55,peoplewholiveinglasshousesshouldnotthrowstones,pplwhlvnglsshssshldntthrwstns,29,26
A journey of a thousand miles begins with a single step,7,55,a journey ofa thousand milesbeginswithasinglestep, jrny f thsnd mlsbgnswthsnglstp,31,24
All is for the best in the best of all possible worlds,12,54,allisforthebestinthebestofallpossibleworlds,llsfrthbstnthbstfllpssblwrlds,29,25
It is better to light a candle than curse the darkness,11,54,itisbettertolightacandlethancursethedarkness,tsbttrtlghtcndlthncrsthdrknss,29,25
No one can make you feel inferior without your consent,10,54,noonecanmakeyoufeelinferiorwithoutyourconsent,nncnmkyflnfrrwthtyrcnsnt,24,30
Those who live in glass houses should not throw stones,10,54,thosewholiveinglasshousesshouldnotthrowstones,thswhlvnglsshssshldntthrwstns,29,25
You cannot run with the hare and hunt with the hounds,11,53,youcannotrunwiththehareandhuntwiththehounds,ycnntrnwththhrndhntwththhnds,28,25
Better to light one candle than to curse the darkness,10,53,bettertolightonecandlethantocursethedarkness,bttrtlghtncndlthntcrsthdrknss,29,24
If you lie down with dogs you will get up with fleas,12,52,ifyouliedownwithdogsyouwillgetupwithfleas,fyldwnwthdgsywllgtpwthfls,25,27
In the kingdom of the blind the one eyed man is king,12,52,inthekingdomoftheblindtheoneeyedmanisking,nthkngdmfthblndthnydmnskng,26,26
Ask a silly question and you will get a silly answer,11,52,askasillyquestionandyouwillgetasillyanswer,sksllyqstnndywllgtsllynswr,26,26
To travel hopefully is a better thing than to arrive,10,52,totravelhopefullyisabetterthingthantoarrive,ttrvlhpfllysbttrthngthntrrv,27,25
March comes in like a lion and goes out like a lamb,12,51,marchcomesinlikealionandgoesoutlikealamb,mrchcmsnlklnndgstlklmb,22,29
If you cannot stand the heat get out of the kitchen,11,51,ifyoucannotstandtheheatgetoutofthekitchen,fycnntstndthhtgttfthktchn,25,26
What is sauce for the goose is sauce for the gander,11,51,whatissauceforthegooseissauceforthegander,whtsscfrthgssscfrthgndr,23,28
The best-laid schemes of mice and men often go awry,10,51,thebest-laidschemesofmiceandmenoftengoawry,thbst-ldschmsfmcndmnftngwry,27,24
Success has many fathers while failure is an orphan,9,51,successhasmanyfatherswhilefailureisanorphan,sccsshsmnyfthrswhlflrsnrphn,27,24
Life is too short not to do something that matters,10,50,lifeistooshortnottodosomethingthatmatters,lfstshrtnttdsmthngthtmttrs,26,24
Never put off until tomorrow what you can do today,10,50,neverputoffuntiltomorrowwhatyoucandotoday,nvrptffntltmrrwwhtycndtdy,25,25
The more things change the more they stay the same,10,50,themorethingschangethemoretheystaythesame,thmrthngschngthmrthystythsm,27,23
A place for everything and everything in its place,9,50,aplaceforeverythingandeverythinginitsplace,plcfrvrythngndvrythngntsplc,27,23
Do not count your chickens before they are hatched,9,50,donotcountyourchickensbeforetheyarehatched,dntcntyrchcknsbfrthyrhtchd,26,24
Do not sympathize with those who can not empathize,9,50,donotsympathizewiththosewhocannotempathize,dntsympthzwththswhcnntmpthz,27,23
One might as well be hanged for a sheep as a lamb,12,49,onemightaswellbehangedforasheepasalamb,nmghtswllbhngdfrshpslmb,23,26
Do unto others as you would have them do unto you,11,49,dountoothersasyouwouldhavethemdountoyou,dntthrssywldhvthmdnty,21,28
There is many a good tune played on an old fiddle,11,49,thereismanyagoodtuneplayedonanoldfiddle,thrsmnygdtnplydnnldfddl,23,26
You catch more flies with honey than with vinegar,9,49,youcatchmoreflieswithhoneythanwithvinegar,yctchmrflswthhnythnwthvngr,26,23
You cannot make an omelette without breaking eggs,8,49,youcannotmakeanomelettewithoutbreakingeggs,ycnntmknmlttwthtbrkngggs,24,25
A Lark bird in the hand is worth two in the bush,12,48,alarkbirdinthehandisworthtwointhebush,lrkbrdnthhndswrthtwnthbsh,25,23
A man with a hammer sees every problem as a nail,11,48,amanwithahammerseeseveryproblemasanail,mnwthhmmrssvryprblmsnl,22,26
He who lives by the sword shall die by the sword,11,48,hewholivesbytheswordshalldiebythesword,hwhlvsbythswrdshlldbythswrd,27,21
The innocent seldom find an uncomfortable pillow,7,48,theinnocentseldomfindanuncomfortablepillow,thnncntsldmfndnncmfrtblpllw,27,21
There is none so blind as those who will not see,11,48,thereisnonesoblindasthosewhowillnotsee,thrsnnsblndsthswhwllnts,23,25
An ounce of prevention is worth a pound of cure,10,47,anounceofpreventionisworthapoundofcure,nncfprvntnswrthpndfcr,21,26
Give a man rope enough and he will hang himself,10,47,giveamanropeenoughandhewillhanghimself,gvmnrpnghndhwllhnghmslf,23,24
It is better to travel hopefully than to arrive,9,47,itisbettertotravelhopefullythantoarrive,tsbttrttrvlhpfllythntrrv,24,23
They that sow the wind shall reap the whirlwind,9,47,theythatsowthewindshallreapthewhirlwind,thythtswthwndshllrpthwhrlwnd,28,19
Genius is an infinite capacity for taking pains,8,47,geniusisaninfinitecapacityfortakingpains,gnssnnfntcpctyfrtkngpns,23,24
Keep your friends close and your enemies closer,8,47,keepyourfriendscloseandyourenemiescloser,kpyrfrndsclsndyrnmsclsr,23,24
Lightning never strikes twice in the same place,8,47,lightningneverstrikestwiceinthesameplace,lghtnngnvrstrkstwcnthsmplc,26,21
If a job is worth doing it is worth doing well,11,46,ifajobisworthdoingitisworthdoingwell,fjbswrthdngtswrthdngwll,23,23
The bread never falls but on its buttered side,9,46,thebreadneverfallsbutonitsbutteredside,thbrdnvrfllsbtntsbttrdsd,24,22
The hand that rocks the cradle rules the world,9,46,thehandthatrocksthecradlerulestheworld,thhndthtrcksthcrdlrlsthwrld,27,19
The road to Hell is paved with good intentions,9,46,theroadtohellispavedwithgoodintentions,thrdthllspvdwthgdntntns,23,23
Those who sleep with dogs will rise with fleas,9,46,thosewhosleepwithdogswillrisewithfleas,thswhslpwthdgswllrswthfls,25,21
It is the empty can that makes the most noise,10,45,itistheemptycanthatmakesthemostnoise,tsthmptycnthtmksthmstns,23,22
It needs a Hundred Lies to cover a Single Lie,10,45,itneedsahundredliestocoverasinglelie,tndshndrdlstcvrsngll,20,25
One law for the rich and another for the poor,10,45,onelawfortherichandanotherforthepoor,nlwfrthrchndnthrfrthpr,22,23
If we are not back by dawn call the President,10,45,ifwearenotbackbydawncallthepresident,fwrntbckbydwncllthprsdnt,24,21
That which does not kill us makes us stronger,9,45,thatwhichdoesnotkillusmakesusstronger,thtwhchdsntkllsmkssstrngr,25,20
The grass is always greener on the other side,9,45,thegrassisalwaysgreenerontheotherside,thgrssslwysgrnrnththrsd,23,22
When the going gets tough the tough get going,9,45,whenthegoinggetstoughthetoughgetgoing,whnthgnggtstghthtghgtgng,24,21
Work expands so as to fill the time available,9,45,workexpandssoastofillthetimeavailable,wrkxpndssstfllthtmvlbl,22,23
A chain is only as strong as its weakest link,8,45,a chain isonlyasstrongasitsweakestlink, chn snlysstrngstswkstlnk,25,20
Cowards may die many times before their death,8,45,cowardsmaydiemanytimesbeforetheirdeath,cwrdsmydmnytmsbfrthrdth,23,22
The longest journey starts with a single step,8,45,thelongestjourneystartswithasinglestep,thlngstjrnystrtswthsnglstp,26,19
As you make your bed so you must lie upon it,11,44,asyoumakeyourbedsoyoumustlieuponit,symkyrbdsymstlpnt,17,27
It is an ill wind that blows no one any good,11,44,itisanillwindthatblowsnooneanygood,tsnllwndthtblwsnnnygd,21,23
If at first you do not succeed try try again,10,44,ifatfirstyoudonotsucceedtrytryagain,ftfrstydntsccdtrytrygn,22,22
If you want a thing done well do it yourself,10,44,ifyouwantathingdonewelldoityourself,fywntthngdnwlldtyrslf,21,23
Do not throw the baby out with the bathwater,9,44,donotthrowthebabyoutwiththebathwater,dntthrwthbbytwththbthwtr,24,20
Doubt is the beginning not the end of wisdom,9,44,doubtisthebeginningnottheendofwisdom,dbtsthbgnnngntthndfwsdm,23,21
It is the squeaky wheel that gets the grease,9,44,itisthesqueakywheelthatgetsthegrease,tsthsqkywhlthtgtsthgrs,22,22
The course of true love never did run smooth,9,44,thecourseoftrueloveneverdidrunsmooth,thcrsftrlvnvrddrnsmth,21,23
